Date,Individual,Captured
21-Jul-15,.O..B,1
21-Jul-15,.O.OO,1
21-Jul-15,.O.RB,1
21-Jul-15,.O.RR,1
21-Jul-15,.OB..,1
21-Jul-15,.OR.B,1
21-Jul-15,.ORB.,1
21-Jul-15,.ORR.,1
21-Jul-15,.RR.R,1
21-Jul-15,.RY.Y,1
21-Jul-15,.Y.BY,1
21-Jul-15,.Y.YB,1
21-Jul-15,B..RO,1
21-Jul-15,B.YY.,1
21-Jul-15,BO..R,1
21-Jul-15,BO.R.,1
21-Jul-15,BR.O.,1
21-Jul-15,BY..Y,1
21-Jul-15,BY.Y.,1
21-Jul-15,O...B,1
21-Jul-15,O...R,1
21-Jul-15,O..B.,1
21-Jul-15,O..R.,1
21-Jul-15,O..RB,1
21-Jul-15,O.B..,1
21-Jul-15,O.B.R,1
21-Jul-15,O.BR.,1
21-Jul-15,O.R.B,1
21-Jul-15,O.R.O,1
21-Jul-15,O.RB.,1
21-Jul-15,OB...,1
21-Jul-15,OB..R,1
21-Jul-15,OB.R.,1
21-Jul-15,OBR..,1
21-Jul-15,OR..B,1
21-Jul-15,OR.B.,1
21-Jul-15,ORB..,1
21-Jul-15,R...B,1
21-Jul-15,R..R.,1
21-Jul-15,R.YY.,1
21-Jul-15,RB...,1
21-Jul-15,RO.O.,1
21-Jul-15,RY..Y,1
21-Jul-15,RY.Y.,1
21-Jul-15,Y..BY,1
21-Jul-15,Y.OOO,1
21-Jul-15,Y.OY.2,1
21-Jul-15,Y.YB.,1
21-Jul-15,YO..O,1
21-Jul-15,YOY..,1
21-Jul-15,YY..B,1
27-Jul-15,..BBB,1
27-Jul-15,..BRO,1
27-Jul-15,..O..,1
27-Jul-15,..ORB,1
27-Jul-15,..ORR,1
27-Jul-15,.B.BB,1
27-Jul-15,.B.RO,1
27-Jul-15,.BR.R,1
27-Jul-15,.BRB.,1
27-Jul-15,.BRR.,1
27-Jul-15,.OB..,1
27-Jul-15,.OR.B,1
27-Jul-15,.OR.R,1
27-Jul-15,.RO.R,1
27-Jul-15,.ROR.,1
27-Jul-15,.RR.R,1
27-Jul-15,.Y.YY,1
27-Jul-15,B..RO,1
27-Jul-15,B..RR,1
27-Jul-15,B.B.Y,1
27-Jul-15,B.R.R,1
27-Jul-15,B.RB.,1
27-Jul-15,B.RO.,1
27-Jul-15,B.ROR,1
27-Jul-15,BO..R,1
27-Jul-15,BO.R.,1
27-Jul-15,BRO..,1
27-Jul-15,BY..Y,1
27-Jul-15,O...R,1
27-Jul-15,O..RO,1
27-Jul-15,O.R.O,1
27-Jul-15,O.RO.,1
27-Jul-15,OBR..,1
27-Jul-15,R..OO,1
27-Jul-15,R..OR,1
27-Jul-15,R..R.,1
27-Jul-15,R.B..,1
27-Jul-15,R.O.R,1
27-Jul-15,R.OR.,1
27-Jul-15,RB...,1
27-Jul-15,RO..R,1
27-Jul-15,RO.R.,1
27-Jul-15,ROR..,1
27-Jul-15,RY..Y,1
27-Jul-15,RY.Y.,1
27-Jul-15,Y..BY,1
27-Jul-15,Y..OY,1
27-Jul-15,Y..R.,1
27-Jul-15,Y.B.Y,1
27-Jul-15,Y.Y.B,1
27-Jul-15,Y.YB.,1
27-Jul-15,YBB..,1
27-Jul-15,YO.O.,1
27-Jul-15,YYY..,1
21-Jul-16,..BBB,1
21-Jul-16,..BBY,1
21-Jul-16,..RR.,1
21-Jul-16,..YRO,1
21-Jul-16,.OR.B,1
21-Jul-16,.OR.R,1
21-Jul-16,.ORB.,1
21-Jul-16,.ORY.,1
21-Jul-16,.Y.RO,1
21-Jul-16,.YR.O,1
21-Jul-16,.YRO.,1
21-Jul-16,B.YY.,1
21-Jul-16,BO.R.,1
21-Jul-16,BOB..,1
21-Jul-16,BR.O.,1
21-Jul-16,O..RB,1
21-Jul-16,O..RY,1
21-Jul-16,O.R.Y,1
21-Jul-16,O.RY.,1
21-Jul-16,OB..R,1
21-Jul-16,OR..R,1
21-Jul-16,OR..Y,1
21-Jul-16,OR.Y.,1
21-Jul-16,ORY..,1
21-Jul-16,RB...,1
21-Jul-16,RY.Y.,1
21-Jul-16,Y..OO,1
21-Jul-16,Y..RO,1
21-Jul-16,Y.BY.,1
21-Jul-16,Y.OO.,1
21-Jul-16,Y.R.O,1
21-Jul-16,Y.RO.,1
21-Jul-16,YB..B,1
21-Jul-16,YR..O,1
21-Jul-16,YR.O.,1
21-Jul-16,YRO..,1
26-Jul-16,..BBB,1
26-Jul-16,..BBY,1
26-Jul-16,..BYB,1
26-Jul-16,..BYY,1
26-Jul-16,..O..,1
26-Jul-16,..OYB,1
26-Jul-16,..YYB,1
26-Jul-16,.B.YB,1
26-Jul-16,.BRR.,1
26-Jul-16,.BY.B,1
26-Jul-16,.BYY.,1
26-Jul-16,.O.YB,1
26-Jul-16,.OR.O,1
26-Jul-16,.ORR.,1
26-Jul-16,.ORY.,1
26-Jul-16,.OY.B,1
26-Jul-16,.OYB.,1
26-Jul-16,.ROO.,1
26-Jul-16,.RRB.,1
26-Jul-16,.Y..O,1
26-Jul-16,.Y.BY,1
26-Jul-16,.Y.RO,1
26-Jul-16,.YO..,1
26-Jul-16,B..RO,1
26-Jul-16,B.O.R,1
26-Jul-16,B.RB.,1
26-Jul-16,B.RR.,1
26-Jul-16,BO.R.,1
26-Jul-16,BOB..,1
26-Jul-16,BOR..,1
26-Jul-16,BR.O.,1
26-Jul-16,BY.B.,1
26-Jul-16,BYB..,1
26-Jul-16,O..R.,1
26-Jul-16,O..YB,1
26-Jul-16,O.RR.,1
26-Jul-16,O.Y.B,1
26-Jul-16,O.YB.,1
26-Jul-16,OB...,1
26-Jul-16,OR.Y.,1
26-Jul-16,OY..B,1
26-Jul-16,OY..O,1
26-Jul-16,OY.B.,1
26-Jul-16,OY.O.,1
26-Jul-16,OYB..,1
26-Jul-16,OYO..,1
26-Jul-16,R..OR,1
26-Jul-16,R.R.B,1
26-Jul-16,R.Y.Y,1
26-Jul-16,RO.R.,1
26-Jul-16,RY..Y,1
26-Jul-16,Y...O,1
26-Jul-16,Y..O.,1
26-Jul-16,Y..RO,1
26-Jul-16,Y.O..,1
26-Jul-16,Y.O.O,1
26-Jul-16,Y.OOO,1
26-Jul-16,Y.R.O,1
26-Jul-16,Y.RO.,1
26-Jul-16,Y.Y.Y,1
26-Jul-16,YB..B,1
26-Jul-16,YO...,1
26-Jul-16,YO.O.,1
26-Jul-16,YO.Y.,1
1-Aug-16,..BBB,1
1-Aug-16,..OYB,1
1-Aug-16,..RR.,1
1-Aug-16,..YRR,1
1-Aug-16,..YYB,1
1-Aug-16,.BRO.,1
1-Aug-16,.BRR.,1
1-Aug-16,.OY.B,1
1-Aug-16,.RO.R,1
1-Aug-16,.Y..O,1
1-Aug-16,.Y.RR,1
1-Aug-16,.Y.Y.,1
1-Aug-16,.YR.R,1
1-Aug-16,.YRR.,1
1-Aug-16,B..RO,1
1-Aug-16,B.RB.,1
1-Aug-16,B.YY.,1
1-Aug-16,BO.R.,1
1-Aug-16,BOB..,1
1-Aug-16,BR.O.,1
1-Aug-16,BY..Y,1
